,White_King_file,White_King_rank,White_Rook_file,White_Rook_rank,Black_King_file,Black_King_rank,class
122,3,3,4,1,0,2,0
123,3,2,6,5,1,5,0
124,2,2,4,5,7,2,0
125,1,2,2,1,5,2,0
126,2,2,4,2,4,8,0
127,0,1,3,1,5,1,0
128,2,2,5,6,4,8,0
129,2,1,7,7,3,7,0
130,0,1,4,7,7,2,0
131,3,1,4,5,1,7,0
132,3,2,6,8,7,2,0
133,3,2,5,6,0,5,0
134,3,2,5,8,2,6,0
135,3,1,3,4,0,2,0
136,1,2,0,3,5,4,0
137,2,1,3,7,0,2,0
138,0,1,5,7,3,2,0
139,3,2,0,3,6,4,0
140,3,3,5,1,1,1,0
141,3,1,0,3,0,4,0
142,3,3,6,7,2,1,0
143,3,1,1,6,6,2,0
144,3,4,4,3,6,6,0
145,3,2,4,7,6,1,0
146,3,2,2,1,7,4,0
147,3,3,0,4,6,7,0
148,2,2,1,8,6,8,0
149,1,1,6,2,1,5,0
150,3,2,6,2,6,8,0
151,2,3,0,3,7,5,0
152,3,4,0,5,7,3,0
153,1,1,6,1,1,8,0
154,2,3,5,4,4,2,0
155,2,1,5,7,3,5,0
156,3,4,6,2,7,7,0
157,2,1,6,4,1,8,0
158,2,1,4,1,6,4,0
159,1,1,1,2,1,5,0
160,0,1,7,8,5,2,0
161,3,3,4,6,7,1,0
162,0,1,7,1,6,1,0
163,2,1,0,4,5,6,0
164,3,1,7,2,7,1,0
165,3,3,2,8,4,6,0
166,1,2,1,7,5,1,0
167,2,3,7,3,5,1,0
168,3,3,4,1,4,8,0
169,0,1,0,2,6,5,0
170,2,1,3,1,0,1,0
171,1,1,4,4,4,5,0
172,0,1,7,4,7,7,0
173,2,2,1,2,7,6,0
174,3,2,5,8,3,6,0
175,0,1,5,5,5,1,0
176,2,1,0,4,4,4,0
177,2,2,1,2,6,1,0
178,2,1,4,3,6,3,0
179,1,1,2,3,1,5,0
180,3,4,2,7,7,2,0
181,1,1,5,2,1,6,0
182,3,3,1,6,7,7,0
183,3,2,2,7,3,8,0
184,2,2,5,5,0,7,0
185,2,2,1,1,7,8,0
186,2,1,6,2,6,3,0
187,3,2,6,8,7,1,0
188,2,2,0,5,6,7,0
189,2,3,1,4,1,1,0
190,3,2,4,5,2,7,0
191,1,1,0,5,4,4,0
192,3,2,4,8,7,2,0
193,3,2,3,8,5,3,0
194,2,2,6,2,5,4,0
195,1,1,6,5,3,5,0
196,1,1,6,3,2,7,0
197,3,3,1,8,0,7,0
198,3,1,3,2,4,5,0
199,3,3,7,4,1,1,0
200,3,2,0,1,3,4,0
201,3,1,5,2,7,5,0
202,1,1,4,6,1,4,0
203,1,2,2,8,7,3,0
204,3,1,1,6,2,4,0
205,3,2,3,7,6,3,0
206,2,1,6,2,1,8,0
207,0,1,1,6,5,5,0
208,3,3,4,1,7,1,0
209,3,3,2,5,3,8,0
210,2,1,6,6,7,5,0
211,3,2,4,4,4,7,0
212,1,2,6,7,3,1,0
213,1,1,3,7,3,1,0
214,2,1,1,4,1,8,0
215,3,4,3,1,6,4,0
216,3,1,3,7,4,5,0
217,0,1,4,5,6,6,0
218,3,4,7,5,6,5,0
219,1,2,4,7,7,5,0
220,3,3,4,6,3,7,0
221,3,3,2,4,5,5,0
222,2,1,1,6,6,8,0
223,1,1,6,3,6,2,0
224,1,1,7,1,6,8,0
225,3,2,2,7,2,4,0
226,1,1,1,2,5,5,0
227,3,2,0,8,7,6,0
228,3,1,4,4,2,6,0
229,3,2,0,3,0,2,0
230,3,4,5,1,6,2,0
231,3,3,1,1,4,6,0
232,2,1,2,2,1,3,0
233,1,1,5,1,1,3,0
234,3,3,4,5,1,8,0
235,2,2,2,3,2,4,0
236,2,1,0,1,6,2,0
237,2,3,5,3,4,4,0
238,3,4,2,7,5,3,0
239,2,2,3,5,5,6,0
240,1,2,7,7,6,6,0
241,1,2,6,3,5,1,0
242,3,3,7,7,6,6,0
243,2,3,1,6,4,1,0
244,2,2,2,7,4,3,0
245,3,1,5,4,6,6,0
246,2,2,4,7,1,4,0
247,2,2,6,7,1,6,0
248,2,2,5,7,6,5,0
249,3,4,6,2,1,2,0
250,2,2,0,3,5,5,0
251,1,1,6,8,6,5,0
252,2,1,1,8,0,7,0
253,1,1,3,1,5,1,0
254,1,2,0,6,7,2,0
255,3,1,2,6,0,1,0
256,2,2,0,7,5,5,0
257,0,1,2,3,6,4,0
258,3,1,3,2,4,4,0
259,1,1,6,8,4,4,0
260,3,1,2,7,1,5,0
261,2,2,3,8,6,5,0
262,3,1,7,2,7,5,0
263,1,1,3,2,4,2,0
264,1,1,3,2,0,3,0
265,2,1,3,3,6,3,0
266,3,3,3,5,6,3,0
267,2,1,2,8,0,4,0
268,3,1,0,1,5,5,0
269,2,2,2,4,0,6,0
270,3,4,4,1,3,2,0
271,3,1,6,7,0,2,0
272,2,3,4,8,2,1,0
273,2,2,3,2,7,8,0
274,1,2,6,7,5,4,0
275,3,2,1,5,5,5,0
276,3,3,1,6,3,5,0
277,2,1,5,1,0,6,0
278,3,1,4,8,7,5,0
279,2,1,4,4,0,3,0
280,1,2,7,2,6,3,0
281,2,1,6,1,6,8,0
282,3,2,3,3,0,5,0
283,0,1,7,2,7,4,0
284,2,2,3,7,6,5,0
285,1,1,4,4,2,3,0
286,2,3,0,3,7,4,0
287,3,1,7,1,4,3,0
288,2,2,2,4,5,6,0
289,3,3,1,1,1,8,0
290,2,3,1,1,7,5,0
291,3,3,6,5,0,6,0
292,1,1,0,3,5,8,0
293,3,2,0,6,6,1,0
294,3,4,1,5,3,2,0
295,0,1,4,4,6,5,0
296,1,1,4,2,7,8,0
297,2,2,3,7,3,6,0
298,3,1,2,3,4,8,0
299,3,1,7,4,2,4,0
300,3,3,5,3,1,4,0
301,1,1,5,1,3,1,0
302,0,1,4,7,5,1,0
303,3,1,1,6,5,6,0
304,1,1,2,3,6,5,0
305,1,1,0,4,7,8,0
306,0,1,5,4,7,1,0
307,2,1,0,3,6,5,0
308,1,2,5,5,7,6,0
309,3,3,0,6,7,8,0
310,3,3,5,3,4,7,0
311,0,1,4,4,6,4,0
312,3,2,4,6,6,2,0
313,2,2,3,1,4,2,0
314,3,1,0,7,7,7,0
315,2,1,2,8,2,7,0
316,3,1,7,7,2,6,0
317,1,1,4,7,3,5,0
318,3,4,5,3,2,1,0
319,3,2,0,6,7,7,0
320,2,3,6,1,4,3,0
321,3,4,7,6,7,2,0
322,3,3,4,5,7,7,0
323,2,2,0,7,6,3,0
324,3,4,5,7,7,2,0
325,3,2,5,4,7,3,0
326,0,1,0,7,5,2,0
327,3,3,6,8,7,6,0
328,2,2,3,7,6,1,0
329,3,2,3,4,3,5,0
330,3,4,0,4,3,2,0
331,3,2,6,5,7,4,0
332,2,2,0,7,7,7,0
333,2,1,5,8,7,7,0
334,3,1,7,2,2,5,0
335,3,2,6,2,5,6,0
336,3,2,0,1,4,5,0
337,3,3,5,5,5,7,0
338,0,1,7,4,6,7,0
339,3,1,1,8,6,5,0
340,3,3,5,6,5,8,0
341,3,1,2,2,7,6,0
342,2,2,2,1,5,4,0
343,3,1,5,7,4,3,0
344,3,1,7,4,2,8,0
345,1,1,7,1,7,8,0
346,0,1,5,2,5,6,0
347,3,1,5,5,0,6,0
348,2,1,1,4,7,1,0
349,2,2,6,7,7,4,0
350,3,3,2,4,1,5,0
351,3,4,3,6,5,4,0
352,3,3,7,7,7,1,0
353,3,3,6,4,6,1,0
354,3,3,0,1,1,2,0
355,3,1,1,4,7,8,0
356,1,1,6,5,5,7,0
357,3,3,5,4,3,1,0
358,3,2,6,1,3,8,0
359,3,4,7,5,0,1,0
360,2,3,3,3,5,1,0
361,3,1,6,5,5,7,0
362,2,2,4,7,3,4,0
363,3,4,6,6,6,1,0
364,2,3,3,8,1,1,0
365,2,1,5,2,4,7,0
366,0,1,0,3,6,3,0
367,1,1,3,3,5,5,0
368,2,1,0,6,0,3,0
369,1,2,0,5,6,5,0
370,3,2,2,5,4,4,0
371,2,2,5,6,0,4,0
372,3,2,7,5,6,7,0
373,3,3,4,5,2,1,0
374,0,1,1,7,7,3,0
375,3,1,7,5,2,6,0
376,0,1,5,7,7,2,0
377,1,1,3,8,1,5,0
378,3,1,3,5,0,5,0
379,2,3,2,7,4,1,0
380,2,3,5,3,6,3,0
381,2,2,4,1,7,3,0
382,3,3,5,6,1,1,0
383,3,1,4,6,5,5,0
384,3,3,0,6,4,8,0
385,1,1,3,1,7,7,0
386,2,2,5,6,7,1,0
387,1,1,3,2,2,4,0
388,3,3,0,4,5,7,0
389,0,1,7,1,6,4,0
390,2,2,4,2,7,7,0
391,3,1,0,3,3,4,0
392,1,2,0,8,6,4,0
393,3,1,5,6,6,7,0
394,2,3,1,1,5,6,0
395,3,3,4,4,4,7,0
396,2,2,0,4,7,7,0
397,3,1,3,3,2,4,0
398,3,4,0,6,2,1,0
399,2,2,3,3,7,2,0
400,3,4,1,5,5,5,0
401,1,2,4,3,4,4,0
402,3,1,7,6,6,3,0
403,2,3,2,8,5,4,0
404,2,2,2,4,4,8,0
405,2,3,3,5,4,1,0
406,2,2,2,5,4,7,0
407,1,2,7,1,7,7,0
408,3,1,1,8,5,6,0
409,3,4,1,3,2,1,0
410,1,1,1,6,2,6,0
411,2,1,0,2,5,7,0
412,3,1,0,2,2,4,0
413,2,1,7,4,3,6,0
414,3,3,4,8,5,3,0
415,1,2,7,7,7,1,0
416,3,1,1,6,5,7,0
417,2,3,7,3,7,2,0
418,3,2,2,6,4,4,0
419,2,2,4,6,5,1,0
420,3,2,0,3,5,1,0
421,3,3,4,3,1,6,0
422,3,3,7,1,7,2,0
423,0,1,3,6,7,2,0
424,3,1,1,8,4,5,0
425,1,1,4,1,2,4,0
426,2,2,3,6,7,6,0
427,3,3,0,3,7,7,0
428,2,1,6,6,1,3,0
429,2,2,7,5,5,2,0
430,3,1,1,4,6,4,0
431,3,1,5,1,6,5,0
432,1,2,0,3,6,1,0
433,0,1,1,2,7,3,0
434,3,2,5,1,5,7,0
435,2,3,1,3,5,1,0
436,1,1,3,4,7,1,0
437,2,2,1,6,0,1,0
438,3,3,0,1,5,5,0
439,0,1,7,2,5,3,0
440,2,1,0,5,4,3,0
441,3,3,3,8,2,8,0
442,0,1,2,5,7,4,0
443,2,1,5,5,1,5,0
444,0,1,0,5,7,3,0
445,3,4,7,8,6,5,0
446,1,2,0,6,6,1,0
447,2,2,0,7,4,7,0
448,3,3,4,3,1,3,0
449,3,2,5,7,6,1,0
450,3,1,2,4,4,6,0
451,2,2,6,4,7,6,0
452,2,2,4,2,0,6,0
453,3,1,3,6,3,8,0
454,3,3,0,4,1,4,0
455,2,2,1,5,2,7,0
456,2,3,0,1,7,2,0
457,1,1,2,7,4,7,0
458,2,3,7,6,6,6,0
459,0,1,5,6,5,3,0
460,3,4,5,2,6,3,0
461,2,2,2,5,7,7,0
462,2,1,2,2,4,7,0
463,2,2,6,1,5,2,0
464,3,4,1,2,0,1,0
465,2,2,7,1,5,5,0
466,2,2,4,5,6,8,0
467,3,3,3,2,1,4,0
468,3,1,1,4,1,2,0
469,3,4,0,1,5,5,0
470,3,4,5,5,6,3,0
471,2,2,2,5,2,4,0
472,3,2,0,3,1,7,0
473,2,1,0,7,5,4,0
474,0,1,2,3,4,4,0
475,3,2,7,4,2,8,0
476,2,2,0,8,5,3,0
477,3,1,6,8,0,3,0
478,2,1,2,4,4,4,0
479,3,1,5,5,2,4,0
480,1,1,0,3,4,7,0
481,3,2,4,8,1,8,0
482,3,3,7,3,2,5,0
483,3,3,7,7,3,1,0
484,2,1,1,5,4,1,0
485,2,2,7,4,6,5,0
486,3,4,6,3,3,2,0
487,1,1,6,2,3,4,0
488,1,1,6,5,0,8,0
489,3,2,4,8,4,7,0
490,3,3,2,5,6,2,0
491,1,2,0,2,3,2,0
492,3,3,3,6,3,7,0
493,0,1,4,8,5,5,0
494,3,3,7,2,1,7,0
495,3,2,6,2,4,5,0
496,2,1,3,7,5,6,0
497,2,1,5,8,2,7,0
498,2,2,5,8,5,4,0
499,3,1,5,4,1,6,0
500,0,1,7,6,3,2,0
501,3,2,3,7,7,4,0
502,0,1,7,5,5,4,0
503,0,1,4,6,4,2,0
504,2,2,7,1,4,2,0
505,2,2,7,7,4,8,0
506,2,2,2,1,0,8,0
507,3,3,3,8,7,1,0
508,3,4,6,6,7,6,0
509,2,3,0,3,4,2,0
510,1,1,1,3,6,4,0
511,0,1,7,5,3,4,0
512,3,3,2,5,1,4,0
513,2,3,7,2,7,5,0
514,1,2,6,3,4,2,0
515,1,2,1,5,6,1,0
516,3,1,3,4,2,7,0
517,3,3,3,6,2,7,0
518,2,1,7,7,0,1,0
519,3,2,6,6,1,6,0
520,1,2,3,4,6,5,0
521,3,2,7,3,4,6,0
522,3,1,6,5,2,6,0
523,3,2,0,8,4,6,0
524,3,3,7,8,1,2,0
525,2,2,4,8,7,8,0
526,3,3,4,2,0,6,0
527,3,3,0,4,7,7,0
528,3,2,6,7,4,6,0
529,2,2,3,4,1,6,0
530,3,2,1,2,0,6,0
531,2,1,4,1,2,5,0
532,3,1,7,7,7,8,0
533,2,2,0,8,6,1,0
534,0,1,1,6,5,3,0
535,2,1,1,5,1,7,0
536,3,3,4,3,4,6,0
537,3,3,4,2,7,2,0
538,1,1,5,8,7,2,0
539,2,3,0,5,7,6,0
540,3,1,0,1,7,5,0
541,3,1,3,5,4,6,0
542,1,1,7,3,5,7,0
543,2,3,7,8,6,1,0
544,0,1,7,8,6,3,0
545,2,3,0,7,7,4,0
546,3,3,2,5,6,5,0
547,2,2,7,3,2,6,0
548,3,3,5,2,0,8,0
549,3,1,4,4,6,6,0
550,3,3,1,7,6,7,0
551,2,1,3,3,7,5,0
552,3,1,7,1,2,6,0
553,3,2,0,8,5,5,0
554,3,2,7,4,7,5,0
555,1,1,6,5,0,7,0
556,3,2,5,3,7,8,0
557,1,1,0,5,2,8,0
558,3,2,5,4,6,6,0
559,3,3,0,3,7,3,0
560,2,2,7,3,3,6,0
561,3,1,4,7,2,3,0
562,3,4,2,5,7,6,0
563,3,3,4,8,6,7,0
564,0,1,3,1,3,3,0
565,2,3,0,6,5,4,0
566,1,1,0,6,5,3,0
567,3,3,1,8,5,8,0
568,2,1,4,4,1,7,0
569,2,2,3,6,4,8,0
570,1,2,2,8,5,1,0
571,3,3,3,6,5,6,0
572,3,3,3,5,6,4,0
573,3,3,2,7,5,7,0
574,0,1,3,8,4,1,0
575,2,3,0,2,5,1,0
576,2,3,1,1,6,3,0
577,3,1,4,6,4,3,0
578,2,1,1,7,3,3,0
579,2,1,4,8,3,7,0
580,1,2,1,8,7,7,0
581,1,1,6,7,1,3,0
582,3,2,4,4,5,7,0
583,1,1,0,5,1,4,0
584,3,3,6,3,1,2,0
585,1,1,2,1,6,2,0
586,3,4,6,5,6,1,0
587,3,3,3,6,2,1,0
588,2,1,3,4,7,3,0
589,0,1,3,8,7,7,0
590,3,1,2,7,5,3,0
591,1,1,6,6,7,7,0
592,2,2,0,6,1,6,0
593,1,1,6,4,1,4,0
594,2,1,2,5,2,3,0
595,2,1,7,4,0,5,0
596,0,1,2,4,4,1,0
597,2,1,0,6,0,5,0
598,3,3,5,2,0,1,0
599,2,2,1,7,0,3,0
600,2,3,5,3,5,2,0
601,3,4,0,1,2,2,0
602,3,3,3,6,1,2,0
603,2,1,5,7,4,6,0
604,3,3,7,8,5,1,0
605,3,1,5,8,0,6,0
606,3,1,4,7,2,5,0
607,1,1,0,8,2,6,0
608,2,2,2,5,6,3,0
609,1,1,6,8,3,1,0
610,1,1,7,3,4,1,0
611,2,1,6,8,2,7,0
612,2,1,4,6,2,4,0
613,2,2,1,7,2,5,0
614,0,1,4,4,4,1,0
615,3,1,0,3,4,3,0
616,3,2,6,8,7,8,0
617,3,1,4,2,5,5,0
618,3,1,7,1,7,7,0
619,2,2,0,7,3,5,0
620,3,1,6,7,2,6,0
621,1,1,1,5,2,5,0
622,1,1,1,8,5,4,0
623,3,2,4,1,4,7,0
624,2,3,4,4,6,6,0
625,0,1,5,3,5,4,0
626,3,2,7,7,3,7,0
627,1,1,5,5,7,4,0
628,3,1,2,4,0,3,0
629,1,2,2,2,6,4,0
630,3,1,5,7,7,1,0
631,0,1,0,7,4,2,0
632,1,2,5,1,7,6,0
633,3,2,7,6,1,3,0
634,3,3,7,6,4,8,0
635,2,1,7,5,4,1,0
636,2,3,6,7,4,2,0
637,3,1,2,1,7,6,0
638,3,1,1,4,7,6,0
639,0,1,2,6,6,5,0
640,2,2,1,6,5,7,0
641,0,1,2,7,5,5,0
642,2,2,4,2,5,8,0
643,3,2,5,4,5,1,0
644,1,1,1,2,4,8,0
645,1,2,4,6,4,1,0
646,1,1,6,8,7,2,0
647,3,1,0,8,2,6,0
648,2,1,5,7,7,7,0
649,3,1,4,1,0,4,0
650,3,1,6,6,1,5,0
651,2,2,4,4,2,6,0
652,3,1,2,4,6,3,0
653,1,1,1,2,5,2,0
654,3,3,1,2,6,7,0
655,2,1,7,1,4,7,0
656,3,4,4,5,5,1,0
657,3,3,0,6,4,7,0
658,2,2,3,7,6,8,0
659,2,3,6,7,5,5,0
660,3,2,5,3,7,4,0
661,2,2,4,3,4,5,0
662,1,1,4,4,3,1,0
663,2,1,4,2,6,6,0
664,0,1,2,8,2,1,0
665,3,1,3,7,7,6,0
666,3,1,4,1,5,6,0
667,3,2,7,4,6,2,0
668,0,1,7,4,2,3,0
669,3,3,6,8,2,5,0
670,2,2,5,2,0,7,0
671,2,1,6,1,4,7,0
672,1,1,5,5,0,3,0
673,3,3,1,5,7,3,0
674,3,1,6,5,7,6,0
675,0,1,2,3,2,1,0
676,3,1,1,6,6,7,0
677,3,1,6,3,4,8,0
678,2,3,6,1,6,5,0
679,3,1,5,8,4,7,0
680,2,3,5,4,6,4,0
681,2,3,5,1,6,7,0
682,2,3,7,7,5,3,0
683,2,2,5,3,5,4,0
684,3,3,5,2,7,1,0
685,1,1,2,4,5,6,0
686,2,1,5,1,6,2,0
687,0,1,2,4,3,3,0
688,0,1,7,1,6,6,0
689,2,2,4,6,6,7,0
690,2,3,0,5,6,3,0
691,2,3,4,5,7,6,0
692,0,1,7,5,5,3,0
693,2,1,5,2,0,1,0
694,3,4,0,7,5,4,0
695,3,2,4,2,5,8,0
696,3,3,3,1,7,8,0
697,1,1,4,4,2,4,0
698,2,1,7,4,6,8,0
699,0,1,5,4,7,4,0
700,2,1,4,7,5,2,0
701,3,1,0,5,5,4,0
702,1,2,6,3,4,3,0
703,3,1,6,1,1,3,0
704,0,1,5,2,3,2,0
705,0,1,5,7,6,6,0
706,3,2,4,7,6,4,0
707,3,3,4,8,0,7,0
708,2,2,5,2,1,5,0
709,2,1,0,6,0,7,0
710,1,1,4,8,0,6,0
711,2,3,1,4,5,1,0
712,1,2,1,3,3,3,0
713,3,3,1,4,6,6,0
714,2,1,0,6,2,7,0
715,2,3,4,7,5,3,0
716,3,3,4,5,6,6,0
717,3,3,4,2,5,4,0
718,2,1,0,5,1,4,0
719,3,4,6,4,1,2,0
720,2,2,0,1,1,6,0
721,2,2,6,8,7,4,0
722,3,2,0,4,5,2,0
723,1,2,3,7,6,4,0
724,3,2,1,7,2,5,0
725,3,2,7,3,5,1,0
726,3,3,7,1,7,4,0
727,3,2,3,7,0,1,0
728,3,1,3,5,7,5,0
729,3,1,2,4,1,5,0
730,3,2,1,1,2,5,0
731,1,1,3,5,0,7,0
732,2,2,3,6,7,1,0
733,1,1,2,3,4,6,0
734,1,1,6,7,1,6,0
735,0,1,6,5,2,2,0
736,2,2,0,7,3,6,0
737,2,2,4,1,5,2,0
738,2,1,5,3,6,5,0
739,3,2,0,5,6,1,0
740,2,2,7,8,1,7,0
741,1,1,3,3,1,3,0
742,0,1,5,2,7,4,0
743,2,2,7,1,6,5,0
744,3,1,2,5,0,1,0
745,1,2,6,7,5,1,0
746,3,3,4,3,7,1,0
747,1,2,1,5,6,5,0
748,3,3,6,1,7,1,0
749,2,3,5,3,2,1,0
750,3,1,4,4,7,4,0
751,2,2,1,1,6,4,0
752,3,2,6,5,2,7,0
753,3,1,5,1,3,8,0
754,3,3,7,1,5,5,0
755,0,1,5,8,7,1,0
756,2,1,1,2,2,5,0
757,3,4,5,6,3,1,0
758,0,1,6,7,2,1,0
759,3,2,2,3,7,5,0
760,2,1,0,4,5,2,0
761,1,2,6,1,7,7,0
762,3,1,2,4,1,3,0
763,2,1,7,3,4,1,0
764,0,1,1,2,3,2,0
765,3,2,6,8,0,4,0
766,0,1,4,7,7,3,0
767,1,1,6,8,0,8,0
768,3,4,5,1,3,1,0
769,1,2,4,2,7,8,0
770,3,2,3,6,3,4,0
771,0,1,2,1,4,4,0
772,3,2,5,8,0,1,0
773,2,2,1,4,7,3,0
774,3,2,2,7,4,4,0
775,2,1,4,4,0,6,0
776,2,1,1,5,6,7,0
777,3,3,0,4,7,2,0
778,1,1,7,8,7,4,0
779,2,1,2,8,5,6,0
780,0,1,4,3,7,6,0
781,3,4,1,5,4,1,0
782,2,1,0,8,0,1,1
783,3,2,0,4,5,7,0
784,2,2,1,2,7,7,0
785,3,2,7,7,4,6,0
786,0,1,5,1,3,1,0
787,3,3,7,1,7,8,0
788,1,1,6,4,6,3,0
789,1,1,2,1,5,1,0
790,1,1,0,6,4,7,0
791,2,1,2,3,5,6,0
792,2,1,5,8,6,7,0
793,1,1,2,6,5,3,0
794,2,3,5,8,5,3,0
795,3,3,0,1,7,5,0
796,2,2,0,1,6,8,0
797,3,3,3,1,0,8,0
798,1,1,3,2,3,4,0
799,2,1,2,7,6,8,0
800,3,4,7,3,1,2,0
801,3,2,1,1,5,6,0
802,2,2,4,5,4,8,0
803,2,2,3,5,6,2,0
804,3,3,6,8,0,7,0
805,3,3,6,1,6,8,0
806,3,2,1,3,1,8,0
807,2,3,3,7,1,1,0
808,2,1,5,5,2,5,0
809,1,2,0,4,7,5,0
810,2,1,5,1,0,8,0
811,3,2,1,3,6,2,0
812,3,1,1,5,0,7,0
813,0,1,2,1,5,1,0
814,2,2,2,4,3,6,0
815,2,3,6,2,7,1,0
816,3,1,7,1,4,4,0
817,2,2,5,6,3,7,0
818,3,4,2,1,7,2,0
819,0,1,7,1,4,1,0
820,0,1,6,5,4,2,0
821,2,1,1,5,0,6,0
822,3,2,2,6,7,8,0
823,2,3,6,6,7,8,0
824,0,1,6,7,6,2,0
825,3,1,6,8,4,8,0
826,3,2,4,8,6,7,0
827,2,1,4,5,6,1,0
828,1,2,7,3,4,2,0
829,3,1,1,5,5,6,0
830,3,1,4,8,3,4,0
831,0,1,5,7,2,1,0
832,3,1,5,1,7,4,0
833,2,1,5,7,0,4,0
834,3,1,7,4,2,6,0
835,2,2,4,4,5,2,0
836,0,1,7,2,3,4,0
837,2,2,4,3,5,8,0
838,2,2,5,4,0,2,0
839,3,2,7,6,4,4,0
840,2,1,7,6,6,3,0
841,2,3,6,2,6,3,0
842,2,2,5,5,3,4,0
843,3,2,2,1,2,5,0
844,1,1,2,8,1,6,0
845,3,1,0,6,1,8,0
846,3,2,7,4,1,3,0
847,3,1,4,5,7,6,0
848,3,1,3,6,7,1,0
849,2,2,2,7,0,4,0
850,3,1,1,8,0,3,0
851,3,1,3,7,1,2,0
852,3,1,1,6,3,7,0
853,2,3,7,3,4,3,0
854,0,1,6,7,6,6,0
855,3,4,2,1,6,2,0
856,2,3,5,6,6,6,0
857,3,4,4,5,5,5,0
858,2,2,0,5,7,6,0
859,2,1,7,5,6,4,0
860,3,1,1,3,3,6,0
861,1,1,1,2,0,7,0
862,3,3,3,4,0,7,0
863,3,3,6,7,0,2,0
864,2,3,6,8,4,1,0
865,0,1,1,4,2,1,0
866,3,2,7,7,2,4,0
867,3,1,7,4,7,8,0
868,3,1,1,8,7,2,0
